userid,college,status
whitneyGessner19,Rider University,pending
whitneyGessner19,Reed College,wait-listed
whitneyGessner19,DePauw University,accepted
tiffGlenine8142,University of Central Florida,accepted
tiffGlenine8142,Drexel University,accepted
tiffGlenine8142,Suffolk University,pending
tiffGlenine8142,Utah State University,accepted
tiffGlenine8142,Massachusetts Institute of Technology,denied
tiffGlenine8142,Mercer University,accepted
tiffGlenine8142,Colgate University,accepted
tiffGlenine8142,Texas Tech University,pending
tiffGlenine8142,Fordham University,accepted
tiffGlenine8142,University of Hartford,pending
tiffGlenine8142,Kalamazoo College,accepted
tiffGlenine8142,Roger Williams University,pending
tiffGlenine8142,The College of Wooster,pending
tiffGlenine8142,Temple University,wait-listed
tiffGlenine8142,Centre College,wait-listed
kisseeRice1677,Colorado College,pending
kisseeRice1677,Siena College,pending
kisseeRice1677,North Park University,pending
kisseeRice1677,University of Houston,pending
kisseeRice1677,California State University-Monterey Bay,pending
kisseeRice1677,Williams College,accepted
kisseeRice1677,Hope College,accepted
kisseeRice1677,California State University-East Bay,accepted
kisseeRice1677,Merrimack College,pending
kisseeRice1677,Mississippi State University,pending
kisseeRice1677,William Jewell College,accepted
kisseeRice1677,University of Massachusetts-Amherst,pending
kisseeRice1677,Saint Louis University,pending
kisseeRice1677,Stevenson University,wait-listed
kisseeRice1677,Berry College,pending
kisseeRice1677,Northwestern University,denied
kisseeRice1677,University of Nevada-Reno,pending
kisseeRice1677,New Jersey Institute of Technology,wait-listed
kisseeRice1677,Carnegie Mellon University,pending
tashaSchnorr5897,Wagner College,pending
tashaSchnorr5897,St Bonaventure University,pending
tashaSchnorr5897,The University of Montana,accepted
tashaSchnorr5897,University of Nevada-Las Vegas,pending
tashaSchnorr5897,Kalamazoo College,pending
tashaSchnorr5897,Utah State University,pending
tashaSchnorr5897,University of Arizona,pending
zondaGunther9951,Eastern Washington University,accepted
zondaGunther9951,Stony Brook University,pending
zondaGunther9951,University of Arkansas,pending
zondaGunther9951,Rider University,accepted
zondaGunther9951,Clarkson University,accepted
zondaGunther9951,University of Richmond,pending
zondaGunther9951,Drake University,pending
lindseyMayda5181,School of the Art Institute of Chicago,pending
lindseyMayda5181,Kennesaw State University,wait-listed
lindseyMayda5181,Manhattan College,accepted
lindseyMayda5181,Smith College,denied
lindseyMayda5181,University of California-Santa Barbara,wait-listed
lindseyMayda5181,University of Illinois at Chicago,pending
lindseyMayda5181,The University of Alabama,wait-listed
gustiMerilyn3926,University of Central Florida,pending
gustiMerilyn3926,California State University-Fresno,accepted
gustiMerilyn3926,Suffolk University,pending
gustiMerilyn3926,Gannon University,pending
gustiMerilyn3926,California State University-Monterey Bay,pending
gustiMerilyn3926,California State University-East Bay,accepted
gustiMerilyn3926,Mississippi State University,accepted
gustiMerilyn3926,Berry College,pending
gustiMerilyn3926,Manhattan College,accepted
gustiMerilyn3926,New Jersey Institute of Technology,wait-listed
gustiMerilyn3926,DePaul University,pending
gustiMerilyn3926,Kalamazoo College,accepted
gustiMerilyn3926,University of Arkansas,pending
gustiMerilyn3926,Princeton University,denied
leonoreAllana7537,Reed College,pending
christabellaMaddock7519,San Diego State University,pending
christabellaMaddock7519,Utah State University,accepted
christabellaMaddock7519,Mississippi State University,wait-listed
christabellaMaddock7519,Suffolk University,accepted
christabellaMaddock7519,Rider University,pending
christabellaMaddock7519,University of California-Santa Cruz,pending
christabellaMaddock7519,Campbell University,accepted
christabellaMaddock7519,North Park University,pending
christabellaMaddock7519,Providence College,pending
christabellaMaddock7519,University of Nevada-Reno,pending
christabellaMaddock7519,Transylvania University,pending
berryClywd691,Centre College,pending
berryClywd691,University of Arkansas,pending
berryClywd691,Rice University,pending
berryClywd691,Drake University,pending
berryClywd691,Massachusetts Institute of Technology,pending
berryClywd691,St Bonaventure University,accepted
berryClywd691,Westmont College,wait-listed
berryClywd691,School of the Art Institute of Chicago,pending
berryClywd691,Princeton University,denied
berryClywd691,Hope College,pending
berryClywd691,Nova Southeastern University,pending
berryClywd691,Temple University,wait-listed
berryClywd691,Suffolk University,pending
berryClywd691,New York University,pending
berryClywd691,William Jewell College,accepted
berryClywd691,New Jersey Institute of Technology,pending
karleneOralia8984,Vassar College,denied
karleneOralia8984,University of Massachusetts-Amherst,wait-listed
karleneOralia8984,University of Delaware,wait-listed
karleneOralia8984,University of Arkansas,pending
karleneOralia8984,School of the Art Institute of Chicago,pending
karleneOralia8984,Texas Tech University,pending
karleneOralia8984,Rochester Institute of Technology,denied
karleneOralia8984,Princeton University,denied
karleneOralia8984,Nova Southeastern University,pending
karleneOralia8984,DePaul University,pending
karleneOralia8984,Fordham University,pending
karleneOralia8984,San Diego State University,denied
karleneOralia8984,John Carroll University,pending
karleneOralia8984,Clarkson University,pending
krystynaMukerji5817,Princeton University,pending
krystynaMukerji5817,Illinois College,denied
krystynaMukerji5817,Eastern Washington University,wait-listed
krystynaMukerji5817,Kalamazoo College,accepted
krystynaMukerji5817,Smith College,denied
krystynaMukerji5817,Moravian College,accepted
krystynaMukerji5817,Iona College,pending
krystynaMukerji5817,Drexel University,pending
krystynaMukerji5817,University of Kentucky,accepted
krystynaMukerji5817,Gettysburg College,denied
krystynaMukerji5817,St Bonaventure University,pending
krystynaMukerji5817,University of California-Santa Barbara,pending
maureneBertina2931,Rice University,pending
maureneBertina2931,Manhattan College,accepted
maureneBertina2931,University of Delaware,pending
marieBultman1043,Stevenson University,accepted
marieBultman1043,Fordham University,pending
marieBultman1043,Eastern Washington University,accepted
marieBultman1043,Williams College,pending
marieBultman1043,Roger Williams University,pending
marieBultman1043,Drake University,accepted
marieBultman1043,Kennesaw State University,pending
marieBultman1043,The University of Montana,pending
marieBultman1043,Northwestern University,pending
marieBultman1043,Rider University,pending
marieBultman1043,Gettysburg College,pending
marieBultman1043,Utah State University,accepted
marieBultman1043,Saint Louis University,accepted
marieBultman1043,Indiana University-Bloomington,pending
marieBultman1043,Reed College,denied
regineZandra1966,Illinois College,denied
gypsyEdi6423,Hendrix College,pending
gypsyEdi6423,Iona College,pending
gypsyEdi6423,University of Illinois at Chicago,accepted
gypsyEdi6423,Stony Brook University,wait-listed
gypsyEdi6423,Nova Southeastern University,accepted
gypsyEdi6423,Mercer University,accepted
gypsyEdi6423,University of Central Florida,pending
gypsyEdi6423,Utah State University,wait-listed
gypsyEdi6423,Reed College,pending
pollyannaTabatha3676,Mount Holyoke College,pending
pollyannaTabatha3676,University of California-Santa Barbara,pending
pollyannaTabatha3676,Suffolk University,accepted
pollyannaTabatha3676,Illinois College,pending
pollyannaTabatha3676,John Carroll University,accepted
pollyannaTabatha3676,Kennesaw State University,pending
pollyannaTabatha3676,Gannon University,accepted
pollyannaTabatha3676,Rider University,accepted
pollyannaTabatha3676,Smith College,accepted
pollyannaTabatha3676,University of Delaware,accepted
philisNicole8885,Central Connecticut State University,pending
philisNicole8885,University of Arkansas,wait-listed
philisNicole8885,The College of Wooster,accepted
philisNicole8885,William Jewell College,denied
philisNicole8885,University of Kentucky,pending
philisNicole8885,Rice University,pending
philisNicole8885,SUNY College of Environmental Science and Forestry,pending
philisNicole8885,Stony Brook University,pending
philisNicole8885,Stevenson University,accepted
philisNicole8885,University of Nevada-Las Vegas,pending
marybelleJanelle7248,University of Kentucky,pending
marybelleJanelle7248,University of Hartford,accepted
marybelleJanelle7248,The University of Montana,accepted
marybelleJanelle7248,Centre College,pending
marybelleJanelle7248,University of Delaware,pending
marybelleJanelle7248,The University of Alabama,pending
marybelleJanelle7248,North Park University,denied
marybelleJanelle7248,Manhattan College,accepted
marybelleJanelle7248,Franklin and Marshall College,accepted
georgieBravar4445,University of Central Florida,denied
georgieBravar4445,Temple University,denied
georgieBravar4445,University of Nevada-Las Vegas,accepted
georgieBravar4445,Centre College,pending
georgieBravar4445,Smith College,denied
georgieBravar4445,Iona College,accepted
georgieBravar4445,Reed College,pending
georgieBravar4445,Berry College,pending
samariaBarbara-Anne415,Idaho State University,accepted
samariaBarbara-Anne415,Stony Brook University,pending
samariaBarbara-Anne415,Suffolk University,pending
samariaBarbara-Anne415,University of Hartford,pending
samariaBarbara-Anne415,Merrimack College,pending
zondraEsch6445,Rider University,accepted
zondraEsch6445,Eastern Illinois University,pending
zondraEsch6445,Temple University,wait-listed
zondraEsch6445,New Jersey Institute of Technology,pending
zondraEsch6445,John Carroll University,wait-listed
zondraEsch6445,University of California-Davis,pending
zondraEsch6445,Kennesaw State University,pending
zondraEsch6445,Massachusetts Institute of Technology,pending
zondraEsch6445,Eastern Washington University,accepted
mayeMotteo3855,Smith College,accepted
mayeMotteo3855,Transylvania University,pending
mayeMotteo3855,The University of Alabama,pending
mayeMotteo3855,University of Central Florida,accepted
mayeMotteo3855,University of Nevada-Las Vegas,accepted
mayeMotteo3855,University of Massachusetts-Amherst,pending
mayeMotteo3855,San Diego State University,accepted
mayeMotteo3855,Illinois College,wait-listed
mayeMotteo3855,Providence College,pending
mayeMotteo3855,Lawrence Technological University,pending
mayeMotteo3855,University of Maine,accepted
mayeMotteo3855,Colgate University,accepted
mayeMotteo3855,Berry College,pending
mayeMotteo3855,Reed College,pending
mayeMotteo3855,University of Hartford,accepted
bonnibelleLonnard8265,Carnegie Mellon University,pending
bonnibelleLonnard8265,Illinois College,accepted
bonnibelleLonnard8265,Hope College,pending
bonnibelleLonnard8265,Gordon College,pending
bonnibelleLonnard8265,Roger Williams University,pending
bonnibelleLonnard8265,Drexel University,pending
bonnibelleLonnard8265,University of Hartford,pending
bonnibelleLonnard8265,Mount Holyoke College,accepted
bonnibelleLonnard8265,California State University-Fresno,accepted
bonnibelleLonnard8265,SUNY College of Environmental Science and Forestry,denied
bonnibelleLonnard8265,Merrimack College,pending
bonnibelleLonnard8265,Hendrix College,pending
bonnibelleLonnard8265,University of California-Davis,denied
bonnibelleLonnard8265,Gannon University,pending
bonnibelleLonnard8265,Nova Southeastern University,accepted
bonnibelleLonnard8265,University of Delaware,wait-listed
bonnibelleLonnard8265,Saint Louis University,pending
sibleyStralka3521,University of Illinois at Chicago,wait-listed
sibleyStralka3521,Moravian College,wait-listed
sibleyStralka3521,Campbell University,accepted
sibleyStralka3521,Texas Tech University,pending
sibleyStralka3521,California State University-Monterey Bay,accepted
georgianaCorbet3663,New York University,denied
georgianaCorbet3663,Drake University,wait-listed
georgianaCorbet3663,The College of Wooster,pending
georgianaCorbet3663,University of Delaware,pending
georgianaCorbet3663,Temple University,pending
georgianaCorbet3663,Colgate University,pending
georgianaCorbet3663,California State University-Fresno,pending
georgianaCorbet3663,University of California-Santa Cruz,pending
georgianaCorbet3663,Rice University,pending
georgianaCorbet3663,Texas Tech University,pending
georgianaCorbet3663,Washington & Jefferson College,denied
georgianaCorbet3663,The University of Alabama,accepted
ingeborgBallinger279,Massachusetts Institute of Technology,pending
ingeborgBallinger279,Temple University,pending
ingeborgBallinger279,Wagner College,pending
ingeborgBallinger279,Colorado College,pending
ingeborgBallinger279,Gordon College,accepted
abbeyDreher6906,Massachusetts Institute of Technology,denied
abbeyDreher6906,St Bonaventure University,pending
abbeyDreher6906,Providence College,pending
abbeyDreher6906,Franklin and Marshall College,denied
abbeyDreher6906,Samford University,pending
abbeyDreher6906,DePauw University,pending
abbeyDreher6906,University of Arizona,accepted
abbeyDreher6906,Carnegie Mellon University,denied
abbeyDreher6906,University of Maine,accepted
abbeyDreher6906,Mount Holyoke College,pending
abbeyDreher6906,Princeton University,pending
abbeyDreher6906,Reed College,pending
abbeyDreher6906,Central Connecticut State University,pending
abbeyDreher6906,Hope College,wait-listed
abbeyDreher6906,Siena College,accepted
abbeyDreher6906,New York University,pending
abbeyDreher6906,Kennesaw State University,pending
abbeyDreher6906,The University of Alabama,pending
abbeyDreher6906,Saint Louis University,accepted
trulaCarla5876,University of California-Santa Cruz,accepted
trulaCarla5876,Fordham University,pending
trulaCarla5876,Central Connecticut State University,pending
trulaCarla5876,Princeton University,denied
trulaCarla5876,Eastern Illinois University,denied
trulaCarla5876,Centre College,accepted
trulaCarla5876,University of Utah,accepted
trulaCarla5876,Rice University,pending
trulaCarla5876,Westmont College,pending
trulaCarla5876,Massachusetts Institute of Technology,denied
trulaCarla5876,Eastern Washington University,pending
trulaCarla5876,Gordon College,accepted
trulaCarla5876,Stevenson University,pending
trulaCarla5876,Franklin and Marshall College,accepted
trulaCarla5876,Manhattan College,accepted
trulaCarla5876,University of Illinois at Chicago,wait-listed
trulaCarla5876,Utah State University,accepted
trulaCarla5876,University of Houston,wait-listed
trulaCarla5876,St Bonaventure University,pending
kelsiCharley4125,Eastern Washington University,accepted
kelsiCharley4125,American University,denied
kelsiCharley4125,Northwestern University,pending
kelsiCharley4125,University of Utah,pending
kelsiCharley4125,Nova Southeastern University,accepted
kelsiCharley4125,California State University-Fresno,wait-listed
kelsiCharley4125,SUNY College of Environmental Science and Forestry,pending
kelsiCharley4125,Illinois College,pending
kelsiCharley4125,Kalamazoo College,wait-listed
kelsiCharley4125,Fordham University,accepted
nessiCristina7841,Rochester Institute of Technology,pending
nessiCristina7841,St Bonaventure University,wait-listed
nessiCristina7841,Clarkson University,accepted
evangelinaPlante3235,Colorado College,denied
evangelinaPlante3235,The University of Alabama,accepted
evangelinaPlante3235,St Bonaventure University,pending
evangelinaPlante3235,North Park University,accepted
evangelinaPlante3235,Saint Louis University,accepted
evangelinaPlante3235,Missouri University of Science and Technology,accepted
evangelinaPlante3235,John Carroll University,accepted
evangelinaPlante3235,Roger Williams University,accepted
evangelinaPlante3235,University of Houston,pending
evangelinaPlante3235,Texas Tech University,accepted
evangelinaPlante3235,University of California-Davis,pending
evangelinaPlante3235,University of Nevada-Reno,pending
evangelinaPlante3235,University of San Diego,pending
evangelinaPlante3235,Westmont College,pending
evangelinaPlante3235,Drexel University,accepted
evangelinaPlante3235,Drake University,accepted
evangelinaPlante3235,Campbell University,accepted
evangelinaPlante3235,American University,denied
briannaEadwine8596,Nova Southeastern University,wait-listed
briannaEadwine8596,University of Hartford,pending
briannaEadwine8596,Clarkson University,pending
briannaEadwine8596,University of Nevada-Reno,accepted
briannaEadwine8596,Williams College,pending
briannaEadwine8596,California State University-Fresno,accepted
briannaEadwine8596,Vassar College,pending
briannaEadwine8596,Utah State University,accepted
briannaEadwine8596,University of Arkansas,pending
briannaEadwine8596,Mississippi State University,pending
briannaEadwine8596,Franklin and Marshall College,pending
briannaEadwine8596,Lawrence Technological University,accepted
briannaEadwine8596,Eastern Illinois University,accepted
briannaEadwine8596,University of Delaware,pending
joellHarley4541,Utah State University,accepted
joellHarley4541,The University of Alabama,denied
joellHarley4541,University of Arkansas,pending
joellHarley4541,DePauw University,accepted
joellHarley4541,Fordham University,pending
joellHarley4541,Samford University,pending
joellHarley4541,Mount Holyoke College,pending
joellHarley4541,Providence College,pending
joellHarley4541,Colgate University,accepted
joellHarley4541,University of California-Santa Cruz,accepted
joellHarley4541,California State University-East Bay,accepted
joellHarley4541,Northwestern University,pending
joellHarley4541,Indiana University-Bloomington,wait-listed
joellHarley4541,California State University-Monterey Bay,denied
joellHarley4541,University of Utah,accepted
arabeleCelina5530,Florida Gulf Coast University,pending
arabeleCelina5530,California State University-Fresno,pending
arabeleCelina5530,Hendrix College,accepted
arabeleCelina5530,Mercer University,wait-listed
arabeleCelina5530,Colgate University,pending
arabeleCelina5530,Smith College,denied
arabeleCelina5530,University of California-Santa Cruz,wait-listed
arabeleCelina5530,University of California-Santa Barbara,accepted
andereaWelton6285,Berry College,pending
andereaWelton6285,Iona College,pending
andereaWelton6285,DePauw University,accepted
andereaWelton6285,Manhattan College,pending
andereaWelton6285,California State University-Fresno,accepted
andereaWelton6285,Rice University,pending
andereaWelton6285,Drexel University,pending
andereaWelton6285,University of Maine,accepted
andereaWelton6285,University of Nevada-Reno,accepted
andereaWelton6285,Westmont College,accepted
andereaWelton6285,University of Arkansas,accepted
andereaWelton6285,Campbell University,accepted
andereaWelton6285,Eastern Illinois University,pending
andereaWelton6285,University of California-Davis,denied
alainePaluas555,Stevenson University,wait-listed
alainePaluas555,New Jersey Institute of Technology,accepted
selmaOthilie472,Rochester Institute of Technology,pending
selmaOthilie472,University of Utah,wait-listed
selmaOthilie472,Drexel University,accepted
selmaOthilie472,Vassar College,pending
winnaAmoreta4992,Saint Louis University,pending
winnaAmoreta4992,Clarkson University,pending
winnaAmoreta4992,Utah State University,pending
winnaAmoreta4992,University of Alabama at Birmingham,pending
winnaAmoreta4992,Wagner College,pending
winnaAmoreta4992,Iona College,pending
eranCarlita2820,Rice University,pending
eranCarlita2820,California State University-Monterey Bay,pending
eranCarlita2820,Transylvania University,accepted
eranCarlita2820,Drake University,pending
eranCarlita2820,Fordham University,denied
eranCarlita2820,Stony Brook University,denied
eranCarlita2820,Campbell University,accepted
eranCarlita2820,Eastern Washington University,accepted
eranCarlita2820,University of Massachusetts-Amherst,pending
eranCarlita2820,University of Houston,wait-listed
eranCarlita2820,Suffolk University,pending
eranCarlita2820,Williams College,denied
eranCarlita2820,Temple University,pending
eranCarlita2820,California State University-Fresno,accepted
eranCarlita2820,University of California-Davis,pending
eranCarlita2820,DePaul University,pending
quintillaKehr6489,Williams College,pending
quintillaKehr6489,San Diego State University,denied
quintillaKehr6489,Texas Tech University,accepted
quintillaKehr6489,University of San Diego,denied
quintillaKehr6489,Stevenson University,denied
quintillaKehr6489,Kalamazoo College,pending
quintillaKehr6489,Roger Williams University,accepted
quintillaKehr6489,New York University,pending
quintillaKehr6489,Transylvania University,pending
quintillaKehr6489,Washington & Jefferson College,wait-listed
quintillaKehr6489,University of Delaware,pending
quintillaKehr6489,DePauw University,pending
quintillaKehr6489,Saint Louis University,pending
quintillaKehr6489,University of California-Santa Cruz,wait-listed
quintillaKehr6489,California State University-East Bay,accepted
quintillaKehr6489,Centre College,pending
quintillaKehr6489,University of Illinois at Chicago,accepted
quintillaKehr6489,Kennesaw State University,pending
katlinPeppard4661,Mount Holyoke College,pending
katlinPeppard4661,Franklin and Marshall College,denied
katlinPeppard4661,Salve Regina University,pending
katlinPeppard4661,The College of Wooster,pending
katlinPeppard4661,University of Kentucky,wait-listed
katlinPeppard4661,Princeton University,denied
katlinPeppard4661,Stony Brook University,pending
katlinPeppard4661,University of Maine,pending
katlinPeppard4661,Roger Williams University,accepted
katlinPeppard4661,Campbell University,accepted
katlinPeppard4661,Texas Tech University,accepted
katlinPeppard4661,University of Richmond,pending
maryellenLucrece7406,University of Kentucky,pending
maryellenLucrece7406,William Jewell College,pending
maryellenLucrece7406,Temple University,pending
maryellenLucrece7406,Westmont College,accepted
maryellenLucrece7406,Fordham University,pending
maryellenLucrece7406,Carnegie Mellon University,accepted
maryellenLucrece7406,Rice University,denied
maryellenLucrece7406,University of Arizona,accepted
maryellenLucrece7406,Manhattan College,accepted
maryellenLucrece7406,San Diego State University,denied
martgueritaRia5541,Salve Regina University,pending
martgueritaRia5541,Drexel University,pending
martgueritaRia5541,Stevenson University,accepted
martgueritaRia5541,The University of Alabama,pending
lyndelCartwright8361,University of Richmond,wait-listed
lyndelCartwright8361,Gannon University,pending
lyndelCartwright8361,Williams College,denied
lyndelCartwright8361,The College of Wooster,pending
lyndelCartwright8361,Mercer University,pending
lyndelCartwright8361,Missouri University of Science and Technology,accepted
lyndelCartwright8361,Rice University,wait-listed
lyndelCartwright8361,New York University,denied
margaritaNunci3577,North Park University,pending
margaritaNunci3577,University of San Diego,accepted
margaritaNunci3577,University of California-Santa Cruz,pending
doreFranciskus7418,New Jersey Institute of Technology,pending
doreFranciskus7418,University of Central Florida,pending
doreFranciskus7418,Campbell University,accepted
doreFranciskus7418,Williams College,pending
doreFranciskus7418,DePauw University,accepted
doreFranciskus7418,Manhattan College,wait-listed
doreFranciskus7418,The University of Montana,accepted
doreFranciskus7418,Massachusetts Institute of Technology,denied
doreFranciskus7418,Saint Louis University,denied
doreFranciskus7418,The College of Saint Scholastica,denied
doreFranciskus7418,Stony Brook University,pending
doreFranciskus7418,University of Arkansas,accepted
doreFranciskus7418,Wagner College,pending
harlieBivins8396,University of Utah,pending
harlieBivins8396,University of Richmond,pending
harlieBivins8396,Saint Louis University,pending
harlieBivins8396,Williams College,pending
harlieBivins8396,Roger Williams University,pending
harlieBivins8396,University of Arkansas,pending
harlieBivins8396,Massachusetts Institute of Technology,pending
harlieBivins8396,Idaho State University,wait-listed
harlieBivins8396,Drake University,pending
harlieBivins8396,American University,pending
harlieBivins8396,University of Central Florida,accepted
tomiMarv909,University of Nevada-Las Vegas,pending
tomiMarv909,Mississippi State University,accepted
tomiMarv909,Idaho State University,pending
tomiMarv909,University of Alabama at Birmingham,wait-listed
tomiMarv909,Suffolk University,accepted
tomiMarv909,The University of Alabama,denied
tomiMarv909,Gannon University,accepted
tomiMarv909,Massachusetts Institute of Technology,wait-listed
tomiMarv909,Franklin and Marshall College,pending
tomiMarv909,University of California-Santa Cruz,denied
tomiMarv909,Northwestern University,denied
tomiMarv909,Stony Brook University,denied
tomiMarv909,Mount Holyoke College,denied
tomiMarv909,California State University-Fresno,pending
tomiMarv909,Samford University,pending
tomiMarv909,Colorado College,denied
tomiMarv909,Iona College,pending
tomiMarv909,DePaul University,wait-listed
heidiRauch2126,Texas Tech University,accepted
heidiRauch2126,New Jersey Institute of Technology,accepted
heidiRauch2126,St Bonaventure University,pending
heidiRauch2126,Washington & Jefferson College,pending
heidiRauch2126,University of Arkansas,wait-listed
heidiRauch2126,University of Nevada-Reno,accepted
heidiRauch2126,Drexel University,accepted
heidiRauch2126,University of California-Davis,denied
heidiRauch2126,University of Utah,pending
berthaHarlen9996,DePauw University,accepted
berthaHarlen9996,Temple University,denied
berthaHarlen9996,The University of Montana,pending
berthaHarlen9996,Merrimack College,accepted
berthaHarlen9996,Westmont College,pending
berthaHarlen9996,Northwestern University,pending
berthaHarlen9996,Carnegie Mellon University,pending
berthaHarlen9996,Barnard College,pending
berthaHarlen9996,John Carroll University,pending
berthaHarlen9996,University of Kentucky,pending
berthaHarlen9996,Williams College,pending
berthaHarlen9996,California State University-Monterey Bay,accepted
paolaLoseff3134,University of Delaware,pending
paolaLoseff3134,Texas Christian University,pending
paolaLoseff3134,Colgate University,accepted
paolaLoseff3134,University of California-Davis,pending
paolaLoseff3134,The University of Alabama,denied
paolaLoseff3134,University of Illinois at Chicago,accepted
paolaLoseff3134,Roger Williams University,pending
kevynSandie4846,University of Utah,pending
kevynSandie4846,The University of Montana,wait-listed
kevynSandie4846,William Jewell College,pending
kevynSandie4846,University of Delaware,pending
kevynSandie4846,Centre College,accepted
kevynSandie4846,Westmont College,pending
kevynSandie4846,DePauw University,pending
kevynSandie4846,Williams College,denied
branaRoos1274,The University of Montana,pending
branaRoos1274,California State University-East Bay,accepted
branaRoos1274,Gannon University,pending
branaRoos1274,San Diego State University,denied
branaRoos1274,Gettysburg College,wait-listed
branaRoos1274,Mount Holyoke College,pending
branaRoos1274,Rice University,pending
branaRoos1274,Washington & Jefferson College,denied
branaRoos1274,Temple University,wait-listed
branaRoos1274,North Park University,pending
branaRoos1274,Vassar College,pending
branaRoos1274,Princeton University,pending
branaRoos1274,Illinois College,wait-listed
conchitaLenna5194,Kalamazoo College,pending
conchitaLenna5194,Illinois College,accepted
conchitaLenna5194,Mercer University,pending
conchitaLenna5194,Indiana University-Bloomington,pending
jaimeLucien4047,Siena College,pending
jaimeLucien4047,Stony Brook University,wait-listed
jaimeLucien4047,Hendrix College,pending
jaimeLucien4047,North Park University,pending
jaimeLucien4047,California State University-Fresno,accepted
jaimeLucien4047,University of Arkansas,pending
jaimeLucien4047,University of Nevada-Reno,accepted
jaimeLucien4047,Massachusetts Institute of Technology,pending
jaimeLucien4047,American University,pending
laneRaquela9587,Iona College,pending
laneRaquela9587,Salve Regina University,accepted
laneRaquela9587,SUNY College of Environmental Science and Forestry,pending
laneRaquela9587,New York University,denied
laneRaquela9587,Indiana University-Bloomington,wait-listed
laneRaquela9587,Centre College,accepted
laneRaquela9587,Mississippi State University,wait-listed
laneRaquela9587,Rice University,accepted
laneRaquela9587,Merrimack College,pending
laneRaquela9587,University of Alabama at Birmingham,accepted
laneRaquela9587,Franklin and Marshall College,pending
laneRaquela9587,William Jewell College,pending
laneRaquela9587,Berry College,pending
laneRaquela9587,Massachusetts Institute of Technology,denied
laneRaquela9587,Fordham University,pending
laneRaquela9587,University of California-Davis,accepted
laneRaquela9587,Williams College,pending
gussieBlackburn5095,University of Central Florida,pending
gussieBlackburn5095,North Park University,pending
gussieBlackburn5095,Roger Williams University,pending
gussieBlackburn5095,DePauw University,pending
gussieBlackburn5095,New Jersey Institute of Technology,pending
gussieBlackburn5095,Franklin and Marshall College,pending
gussieBlackburn5095,Washington & Jefferson College,wait-listed
gussieBlackburn5095,Mercer University,accepted
gussieBlackburn5095,University of Delaware,accepted
gussieBlackburn5095,Barnard College,denied
gussieBlackburn5095,University of Alabama at Birmingham,pending
chlorisGleason7413,Centre College,accepted
chlorisGleason7413,Smith College,denied
chlorisGleason7413,University of California-Santa Barbara,denied
chlorisGleason7413,Saint Louis University,wait-listed
chlorisGleason7413,Iona College,pending
chlorisGleason7413,Gordon College,accepted
chlorisGleason7413,Northwestern University,pending
dulceaSears6455,Missouri University of Science and Technology,pending
dulceaSears6455,University of Nevada-Reno,pending
dulceaSears6455,University of Utah,pending
dulceaSears6455,California State University-East Bay,accepted
dulceaSears6455,University of Richmond,denied
dulceaSears6455,Berry College,pending
dulceaSears6455,Merrimack College,accepted
dulceaSears6455,University of Central Florida,pending
dulceaSears6455,Gordon College,accepted
dulceaSears6455,John Carroll University,wait-listed
dulceaSears6455,The College of Saint Scholastica,pending
dulceaSears6455,University of Massachusetts-Amherst,pending
dulceaSears6455,Fordham University,accepted
tarahJapeth1988,Franklin and Marshall College,denied
tarahJapeth1988,University of Arkansas,accepted
tarahJapeth1988,Carnegie Mellon University,accepted
tarahJapeth1988,Smith College,pending
jeanieLoralee7105,Mississippi State University,pending
jeanieLoralee7105,University of Richmond,accepted
jeanieLoralee7105,Washington & Jefferson College,pending
jeanieLoralee7105,Samford University,pending
jeanieLoralee7105,Manhattan College,accepted
jeanieLoralee7105,University of Delaware,accepted
jeanieLoralee7105,Eastern Washington University,pending
jeanieLoralee7105,University of Utah,accepted
jeanieLoralee7105,Drexel University,accepted
jeanieLoralee7105,University of California-Santa Cruz,denied
jeanieLoralee7105,William Jewell College,accepted
jeanieLoralee7105,California State University-East Bay,accepted
jeanieLoralee7105,University of Kentucky,accepted
jeanieLoralee7105,Nova Southeastern University,denied
jeanieLoralee7105,University of Alabama at Birmingham,pending
jeanieLoralee7105,Idaho State University,accepted
jeanieLoralee7105,Massachusetts Institute of Technology,wait-listed
jeanieLoralee7105,Saint Louis University,accepted
jeanieLoralee7105,The University of Montana,pending
genniferHanus5486,Texas Tech University,pending
genniferHanus5486,Mercer University,pending
genniferHanus5486,Texas Christian University,pending
genniferHanus5486,Idaho State University,accepted
genniferHanus5486,Williams College,denied
genniferHanus5486,Eastern Washington University,accepted
genniferHanus5486,University of Richmond,pending
genniferHanus5486,Drake University,accepted
lizbethLohse1343,Smith College,denied
lizbethLohse1343,University of California-Santa Cruz,pending
pruChlori802,University of California-Santa Cruz,pending
pruChlori802,Nova Southeastern University,pending
pruChlori802,Kennesaw State University,pending
pruChlori802,Campbell University,pending
pruChlori802,Stevenson University,pending
pruChlori802,University of Houston,pending
pruChlori802,University of Kentucky,pending
keeliaRiesman8045,Mount Holyoke College,pending
keeliaRiesman8045,American University,pending
keeliaRiesman8045,University of Nevada-Reno,pending
keeliaRiesman8045,Suffolk University,pending
keeliaRiesman8045,University of Hartford,pending
keeliaRiesman8045,University of Nevada-Las Vegas,accepted
keeliaRiesman8045,Saint Louis University,pending
keeliaRiesman8045,Colgate University,denied
keeliaRiesman8045,Eastern Illinois University,pending
